,enumeration_type,number,last_updated_epoch,created_epoch,other_names,addresses,taxonomies,identifiers,basic.organization_name,basic.organizational_subpart,basic.enumeration_date,basic.last_updated,basic.status,basic.authorized_official_first_name,basic.authorized_official_last_name,basic.authorized_official_middle_name,basic.authorized_official_telephone_number,basic.authorized_official_title_or_position,basic.authorized_official_name_prefix,basic.name,basic.first_name,basic.last_name,basic.middle_name,basic.credential,basic.sole_proprietor,basic.gender,basic.name_prefix,basic.authorized_official_credential,basic.certification_date,basic.authorized_official_name_suffix,basic.name_suffix,practiceLocations,endpoints,basic.parent_organization_ein,basic.parent_organization_legal_business_name,basic.reactivation_date,basic.deactivation_date
388,NPI-2,1659602043,1264377600,1264377600,[],"[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '1010 W CENTER ST', 'address_2': '', 'city': 'BEEBE', 'state': 'AR', 'postal_code': '720123165', 'telephone_number': '501-882-3540', 'fax_number': '501-882-0535'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': '501 BRANDON DR', 'address_2': '', 'city': 'BEEBE', 'state': 'AR', 'postal_code': '720123837', 'telephone_number': '501-882-3540', 'fax_number': '501-882-0535'}]","[{'code': '122300000X', 'desc': 'Dentist', 'primary': True, 'state': 'AR', 'license': '3021', 'taxonomy_group': '193400000X SINGLE SPECIALTY  GROUP'}]",[],"LD MCGRAW, DDS, PLLC",NO,2010-01-25,2010-01-25,A,LARRY,MCGRAW,D,501-882-3540,DENTIST,DR.,"LD MCGRAW, DDS, PLLC",,,,,,,,DDS,,,,,,,,,
389,NPI-2,1972196897,1615824024,1613088000,[],"[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '1010 W CENTER ST', 'address_2': '', 'city': 'BEEBE', 'state': 'AR', 'postal_code': '720123165', 'telephone_number': '501-882-3835', 'fax_number': '501-882-0535'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': '1010 W CENTER ST', 'address_2': '', 'city': 'BEEBE', 'state': 'AR', 'postal_code': '720123165', 'telephone_number': '501-882-3835', 'fax_number': '501-882-0535'}]","[{'code': '1223G0001X', 'desc': 'Dentist General Practice', 'primary': True, 'state': '', 'license': '', 'taxonomy_group': '193400000X SINGLE SPECIALTY  GROUP'}]",[],"LANCE A. MCGRAW, D.D.S., PLLC",NO,2021-02-12,2021-03-15,A,LANCE,MCGRAW,ALAN,501-882-3835,DENTIST,DR.,"LANCE A. MCGRAW, D.D.S., PLLC",,,,,,,,DDS,2021-03-15,,,,,,,,
390,NPI-1,1013930163,1615824077,1153872000,[],"[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '1010 W CENTER ST', 'address_2': '', 'city': 'BEEBE', 'state': 'AR', 'postal_code': '720123165', 'telephone_number': '501-882-3835', 'fax_number': '501-882-0535'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': '1010 W CENTER ST', 'address_2': '', 'city': 'BEEBE', 'state': 'AR', 'postal_code': '720123165', 'telephone_number': '501-882-3835', 'fax_number': '501-882-0535'}]","[{'code': '1223G0001X', 'desc': 'Dentist General Practice', 'primary': True, 'state': 'AR', 'license': '3015'}]","[{'identifier': '811725', 'code': '01', 'desc': 'Other', 'state': 'AR', 'issuer': 'UNITED CONCORDIA'}, {'identifier': '58608', 'code': '01', 'desc': 'Other', 'state': 'AR', 'issuer': 'BLUE CROSS'}]",,,2006-07-26,2021-03-15,A,,,,,,,MCGRAW LANCE,LANCE,MCGRAW,ALAN,D.D.S.,NO,M,DR.,,2021-03-15,,,,,,,,
391,NPI-2,1275951923,1396224000,1396224000,[],"[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '325 SHORT ST', 'address_2': '', 'city': 'BENTON', 'state': 'AR', 'postal_code': '720153748', 'telephone_number': '501-778-8241'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': '325 SHORT ST', 'address_2': '', 'city': 'BENTON', 'state': 'AR', 'postal_code': '720153748', 'telephone_number': '501-778-8241'}]","[{'code': '261QD0000X', 'desc': 'Clinic/Center Dental', 'primary': True, 'state': 'AR', 'license': '2969'}]",[],CLIFF HAYS DDS PA,NO,2014-03-31,2014-03-31,A,CLIFF,HAYS,,501-778-8241,DOCTOR/OWNER,,CLIFF HAYS DDS PA,,,,,,,,DDS,,,,,,,,,
392,NPI-2,1669981239,1545646418,1506384000,[],"[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '1215 MILITARY RD STE 5', 'address_2': '', 'city': 'BENTON', 'state': 'AR', 'postal_code': '720152937', 'telephone_number': '501-315-5574'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': '1215 MILITARY RD STE 3', 'address_2': '', 'city': 'BENTON', 'state': 'AR', 'postal_code': '720152937'}]","[{'code': '261QD0000X', 'desc': 'Clinic/Center Dental', 'primary': True, 'state': 'AR', 'license': '4094'}]","[{'identifier': '1922457332', 'code': '01', 'desc': 'Other', 'state': 'AR', 'issuer': 'NPI'}]","KINARD DENTISTRY, LLC",NO,2017-09-26,2018-12-24,A,MICHAEL,KINARD,,870-500-8155,DENTIST,DR.,"KINARD DENTISTRY, LLC",,,,,,,,D.D.S.,,,,,,,,,
393,NPI-2,1205308533,1545912881,1545868800,"[{'organization_name': 'KINARD DENTAL ARTS, LLC', 'code': '3', 'type': 'Doing Business As'}]","[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '1112 MILITARY RD', 'address_2': '', 'city': 'BENTON', 'state': 'AR', 'postal_code': '720152909', 'telephone_number': '501-315-5574'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': '1112 MILITARY RD', 'address_2': '', 'city': 'BENTON', 'state': 'AR', 'postal_code': '720152909'}]","[{'code': '261QD0000X', 'desc': 'Clinic/Center Dental', 'primary': True, 'state': '', 'license': ''}]",[],"KINARD DENTISTRY, LLC",NO,2018-12-27,2018-12-27,A,MICHAEL,KINARD,LINDSEY,501-315-5574,EMPLOYEE,DR.,"KINARD DENTISTRY, LLC",,,,,,,,DDS,,,,,,,,,
394,NPI-2,1396375283,1579596849,1579564800,"[{'organization_name': 'RAINES FAMILY DENTAL', 'code': '3', 'type': 'Doing Business As'}]","[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '216 E CARPENTER ST', 'address_2': '', 'city': 'BENTON', 'state': 'AR', 'postal_code': '720153418', 'telephone_number': '870-833-0599'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': '216 E CARPENTER ST', 'address_2': '', 'city': 'BENTON', 'state': 'AR', 'postal_code': '720153418', 'telephone_number': '870-833-0599'}]","[{'code': '261QD0000X', 'desc': 'Clinic/Center Dental', 'primary': True, 'state': '', 'license': ''}]",[],J. STEPHEN RAINES DDS PLLC,NO,2020-01-21,2020-01-21,A,JAMES,RAINES,STEPHEN,870-833-0599,OWNER/DENTIST,DR.,J. STEPHEN RAINES DDS PLLC,,,,,,,,DDS,2020-01-21,,,,,,,,
395,NPI-1,1306951397,1183852800,1156032000,[],"[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '2101 C CONGO RD', 'address_2': '', 'city': 'BENTON', 'state': 'AR', 'postal_code': '72015', 'telephone_number': '501-778-1400', 'fax_number': '501-778-6194'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': '2101 C CONGO RD', 'address_2': '', 'city': 'BENTON', 'state': 'AR', 'postal_code': '72015', 'telephone_number': '501-778-1400', 'fax_number': '501-778-6194'}]","[{'code': '122300000X', 'desc': 'Dentist', 'primary': True, 'state': 'AR', 'license': '2853'}]",[],,,2006-08-20,2007-07-08,A,,,,,,,SHELL LENDALL,LENDALL,SHELL,CARROLL,DOS,NO,M,DR.,,,,,,,,,,
396,NPI-1,1184724650,1183852800,1159142400,[],"[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '1215 MILITARY RD', 'address_2': 'SUITE 5', 'city': 'BENTON', 'state': 'AR', 'postal_code': '72015', 'telephone_number': '501-315-5574', 'fax_number': '501-315-5579'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': '1215 MILITARY RD', 'address_2': 'SUITE 5', 'city': 'BENTON', 'state': 'AR', 'postal_code': '72015', 'telephone_number': '501-315-5574', 'fax_number': '501-315-5579'}]","[{'code': '122300000X', 'desc': 'Dentist', 'primary': True, 'state': 'AR', 'license': '2248'}]",[],,,2006-09-25,2007-07-08,A,,,,,,,COOPER PRESTON,PRESTON,COOPER,,DDS,YES,M,DR.,,,,,,,,,,
397,NPI-2,1700021292,1228953600,1228953600,[],"[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '716 W. SOUTH STREET', 'address_2': '', 'city': 'BENTON', 'state': 'AR', 'postal_code': '72015', 'telephone_number': '501-778-8201'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': '716 W. SOUTH STREET', 'address_2': '', 'city': 'BENTON', 'state': 'AR', 'postal_code': '72015', 'telephone_number': '501-778-8201'}]","[{'code': '1223G0001X', 'desc': 'Dentist General Practice', 'primary': True, 'state': '', 'license': '', 'taxonomy_group': '193200000X MULTI-SPECIALTY GROUP'}]","[{'identifier': '134921608', 'code': '05', 'desc': 'MEDICAID', 'state': 'AR', 'issuer': ''}]",SCOTT FAMILY DENTISTRY,NO,2008-12-11,2008-12-11,A,TIMOTHY,SCOTT,BRIAN,501-778-8201,GENERAL DENTIST,DR.,SCOTT FAMILY DENTISTRY,,,,,,,,DDS,,,,,,,,,
398,NPI-2,1881816403,1598086323,1178150400,[],"[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '1215 MILITARY RD', 'address_2': 'SUITE 5', 'city': 'BENTON', 'state': 'AR', 'postal_code': '72015', 'telephone_number': '501-315-5574', 'fax_number': '501-315-5579'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': '1215 MILITARY RD', 'address_2': 'SUITE 5', 'city': 'BENTON', 'state': 'AR', 'postal_code': '72015', 'telephone_number': '501-315-5574', 'fax_number': '501-315-5579'}]","[{'code': '122300000X', 'desc': 'Dentist', 'primary': True, 'state': 'AR', 'license': '2248', 'taxonomy_group': '193400000X SINGLE SPECIALTY  GROUP'}]",[],"PRESTON COOPER, DDS",NO,2007-05-03,2020-08-22,A,PRESTON,COOPER,,501-315-5574,OWNER,DR.,"PRESTON COOPER, DDS",,,,,,,,,,,,,,,,,
399,NPI-1,1801800578,1183852800,1154044800,[],"[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '1202 HIGHWAY 35 N', 'address_2': '', 'city': 'BENTON', 'state': 'AR', 'postal_code': '720152328', 'telephone_number': '501-776-0620', 'fax_number': '501-776-0844'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': '1202 HIGHWAY 35 N', 'address_2': '', 'city': 'BENTON', 'state': 'AR', 'postal_code': '720152328', 'telephone_number': '501-776-0620', 'fax_number': '501-776-0844'}]","[{'code': '1223G0001X', 'desc': 'Dentist General Practice', 'primary': True, 'state': 'AR', 'license': '2247'}]",[],,,2006-07-28,2007-07-08,A,,,,,,,BOURNS MICHAEL,MICHAEL,BOURNS,,D.D.S.,YES,M,,,,,,,,,,,
400,NPI-1,1841371549,1183852800,1161129600,[],"[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '1112 MILITARY RD', 'address_2': '', 'city': 'BENTON', 'state': 'AR', 'postal_code': '720152909', 'telephone_number': '501-778-7129'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': '1112 MILITARY RD', 'address_2': '', 'city': 'BENTON', 'state': 'AR', 'postal_code': '720152909', 'telephone_number': '501-778-7129'}]","[{'code': '1223G0001X', 'desc': 'Dentist General Practice', 'primary': True, 'state': 'AR', 'license': '2318'}]",[],,,2006-10-18,2007-07-08,A,,,,,,,PHELAN RICHARD,RICHARD,PHELAN,E,D.D.S.,YES,M,DR.,,,,,,,,,,
401,NPI-1,1972163400,1560791341,1560729600,[],"[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '1112 MILITARY RD', 'address_2': '', 'city': 'BENTON', 'state': 'AR', 'postal_code': '720152909', 'telephone_number': '479-409-4436'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': '1112 MILITARY RD', 'address_2': '', 'city': 'BENTON', 'state': 'AR', 'postal_code': '720152909', 'telephone_number': '479-409-4436'}]","[{'code': '1223G0001X', 'desc': 'Dentist General Practice', 'primary': True, 'state': 'AR', 'license': '4363'}]",[],,,2019-06-17,2019-06-17,A,,,,,,,CINGOLANI BLAKELY,BLAKELY,CINGOLANI,,,YES,F,,,,,,,,,,,
402,NPI-2,1134646698,1503619200,1503619200,[],"[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '1200 FERGUSON DR STE 4', 'address_2': '', 'city': 'BENTON', 'state': 'AR', 'postal_code': '720152947', 'telephone_number': '#(501) 317-7544'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': '1200 FERGUSON DR STE 4', 'address_2': '', 'city': 'BENTON', 'state': 'AR', 'postal_code': '720152947', 'telephone_number': '501-317-7544'}]","[{'code': '1223G0001X', 'desc': 'Dentist General Practice', 'primary': True, 'state': 'AR', 'license': '3339', 'taxonomy_group': '193400000X SINGLE SPECIALTY  GROUP'}]","[{'identifier': '1861885515', 'code': '05', 'desc': 'MEDICAID', 'state': 'AR', 'issuer': ''}]",BENTON FAMILY DENTISTRY,NO,2017-08-25,2017-08-25,A,JUSTIN,BETHEL,C,501-317-7544,OWNER,,BENTON FAMILY DENTISTRY,,,,,,,,D.D.S,,,,,,,,,
403,NPI-1,1639220791,1183852800,1168905600,[],"[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '715 MILITARY RD', 'address_2': '', 'city': 'BENTON', 'state': 'AR', 'postal_code': '720153310', 'telephone_number': '501-315-1512'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': '715 MILITARY RD', 'address_2': '', 'city': 'BENTON', 'state': 'AR', 'postal_code': '720153310', 'telephone_number': '501-315-1512'}]","[{'code': '1223G0001X', 'desc': 'Dentist General Practice', 'primary': True, 'state': 'AR', 'license': '1956'}]",[],,,2007-01-16,2007-07-08,A,,,,,,,JUMPER JAMES,JAMES,JUMPER,THOMAS,DDS,YES,M,DR.,,,,,,,,,,
404,NPI-2,1104294487,1550224259,1441238400,"[{'organization_name': 'BENTON DENTAL CENTER', 'code': '3', 'type': 'Doing Business As'}]","[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '216 E CARPENTER ST', 'address_2': '', 'city': 'BENTON', 'state': 'AR', 'postal_code': '720153418', 'telephone_number': '501-315-1512'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': 'PO BOX 241785', 'address_2': '', 'city': 'LITTLE ROCK', 'state': 'AR', 'postal_code': '722230014', 'telephone_number': '501-205-1084'}]","[{'code': '1223G0001X', 'desc': 'Dentist General Practice', 'primary': True, 'state': '', 'license': '', 'taxonomy_group': '193400000X SINGLE SPECIALTY  GROUP'}]",[],"CHAD MATONE DENTAL SERVICES, P.L.L.C.",NO,2015-09-03,2019-02-15,A,CHAD,MATONE,,501-205-1084,OWNER/DENTIST,,"CHAD MATONE DENTAL SERVICES, P.L.L.C.",,,,,,,,D.D.S.,,,,,,,,,
405,NPI-1,1700309127,1521244800,1500336000,[],"[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '216 E CARPENTER ST', 'address_2': '', 'city': 'BENTON', 'state': 'AR', 'postal_code': '720153418', 'telephone_number': '501-315-1512', 'fax_number': '501-315-6657'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': '715 MILITARY RD', 'address_2': '', 'city': 'BENTON', 'state': 'AR', 'postal_code': '720153310', 'telephone_number': '501-483-3939'}]","[{'code': '122300000X', 'desc': 'Dentist', 'primary': True, 'state': 'AR', 'license': '4206'}]",[],,,2017-07-18,2018-03-17,A,,,,,,,WYCLIFFE LOREDANA,LOREDANA,WYCLIFFE,BANU,DMD,NO,F,,,,,,"[{'address_type': 'DOM', 'address_1': '7400 N HILLS BLVD', 'address_2': '', 'city': 'NORTH LITTLE ROCK', 'state': 'AR', 'postal_code': '721164539', 'country_code': 'US', 'country_name': 'United States', 'fax_number': '501-834-9178', 'telephone_number': '501-835-4567', 'update_date': '2017-07-18 11:10'}, {'address_type': 'DOM', 'address_1': '1400 W CENTER ST', 'address_2': '', 'city': 'SHERIDAN', 'state': 'AR', 'postal_code': '721508427', 'country_code': 'US', 'country_name': 'United States', 'telephone_number': '870-942-1548', 'update_date': '2017-07-18 11:10'}]",,,,,
406,NPI-2,1467697003,1228953600,1228953600,"[{'organization_name': 'FULKS FAMILY DENTISTRY', 'code': '3', 'type': 'Doing Business As'}]","[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '1200 FERGUSON DR', 'address_2': 'SUITE 4', 'city': 'BENTON', 'state': 'AR', 'postal_code': '720153503', 'telephone_number': '501-778-9222', 'fax_number': '501-778-9223'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': '1200 FERGUSON DR', 'address_2': 'SUITE 4', 'city': 'BENTON', 'state': 'AR', 'postal_code': '720153503', 'telephone_number': '501-778-9222', 'fax_number': '501-778-9223'}]","[{'code': '1223G0001X', 'desc': 'Dentist General Practice', 'primary': True, 'state': 'AR', 'license': '3521', 'taxonomy_group': '193400000X SINGLE SPECIALTY  GROUP'}]",[],"CLINT FULKS, INC",YES,2008-12-11,2008-12-11,A,CLINT,FULKS,ALLEN,501-778-9222,DR. / OWNER,DR.,"CLINT FULKS, INC",,,,,,,,D.D.S.,,,,,,<UNAVAIL>,"CLINT FULKS, INC.",,
407,NPI-1,1720098999,1183852800,1155081600,[],"[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '325 SHORT ST', 'address_2': '', 'city': 'BENTON', 'state': 'AR', 'postal_code': '720153748', 'telephone_number': '501-778-8241', 'fax_number': '501-776-3898'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': '325 SHORT ST', 'address_2': '', 'city': 'BENTON', 'state': 'AR', 'postal_code': '720153748', 'telephone_number': '501-778-8241', 'fax_number': '501-776-3898'}]","[{'code': '1223G0001X', 'desc': 'Dentist General Practice', 'primary': True, 'state': 'AR', 'license': '2969'}]","[{'identifier': '39414-1', 'code': '01', 'desc': 'Other', 'state': 'AR', 'issuer': 'UNITED HEALTH CARE'}, {'identifier': '58543', 'code': '01', 'desc': 'Other', 'state': 'AR', 'issuer': 'BLUE CROSS'}, {'identifier': '835523', 'code': '01', 'desc': 'Other', 'state': 'AR', 'issuer': 'UNITED CONCORDIA'}]",,,2006-08-09,2007-07-08,A,,,,,,,HAYS G.,G.,HAYS,CLIFF,D.D.S.,YES,M,DR.,,,,,,,,,,
408,NPI-1,1306857644,1183852800,1155254400,[],"[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '325 SHORT ST', 'address_2': '', 'city': 'BENTON', 'state': 'AR', 'postal_code': '720153748', 'telephone_number': '501-778-8241', 'fax_number': '501-776-3898'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': '325 SHORT ST', 'address_2': '', 'city': 'BENTON', 'state': 'AR', 'postal_code': '720153748', 'telephone_number': '501-778-8241', 'fax_number': '501-776-3898'}]","[{'code': '1223G0001X', 'desc': 'Dentist General Practice', 'primary': True, 'state': 'AR', 'license': '2973'}]",[],,,2006-08-11,2007-07-08,A,,,,,,,SIMMONS CELITA,CELITA,SIMMONS,,D.D.S.,NO,F,DR.,,,,,,,,,,
409,NPI-1,1962416016,1183939200,1153958400,[],"[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '716 W SOUTH ST', 'address_2': '', 'city': 'BENTON', 'state': 'AR', 'postal_code': '720154160', 'telephone_number': '501-778-8201', 'fax_number': '501-778-2841'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': '716 W SOUTH ST', 'address_2': '', 'city': 'BENTON', 'state': 'AR', 'postal_code': '720154160', 'telephone_number': '501-778-8201', 'fax_number': '501-778-2841'}]","[{'code': '122300000X', 'desc': 'Dentist', 'primary': True, 'state': 'AR', 'license': '3247'}]","[{'identifier': '5T783', 'code': '01', 'desc': 'Other', 'state': 'AR', 'issuer': 'BLUE CROSS BLUE SHIELD'}]",,,2006-07-27,2007-07-09,A,,,,,,,SCOTT TIMOTHY,TIMOTHY,SCOTT,BRIAN,DDS,YES,M,,,,,,,,,,,
410,NPI-1,1477618114,1183852800,1166745600,[],"[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '818 W SOUTH ST', 'address_2': '', 'city': 'BENTON', 'state': 'AR', 'postal_code': '720154162', 'telephone_number': '501-776-0564'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': '818 W SOUTH ST', 'address_2': '', 'city': 'BENTON', 'state': 'AR', 'postal_code': '720154162', 'telephone_number': '501-776-0564'}]","[{'code': '1223G0001X', 'desc': 'Dentist General Practice', 'primary': True, 'state': 'AR', 'license': '2501'}]",[],,,2006-12-22,2007-07-08,A,,,,,,,CARLISLE ROBERT,ROBERT,CARLISLE,R,DDS,YES,M,DR.,,,,,,,,,,
411,NPI-2,1477755338,1598086323,1180915200,[],"[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '818 W SOUTH ST', 'address_2': '', 'city': 'BENTON', 'state': 'AR', 'postal_code': '720154162', 'telephone_number': '501-776-0564'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': '818 W SOUTH ST', 'address_2': '', 'city': 'BENTON', 'state': 'AR', 'postal_code': '720154162', 'telephone_number': '501-776-0564'}]","[{'code': '1223G0001X', 'desc': 'Dentist General Practice', 'primary': True, 'state': 'AR', 'license': 'AR2501', 'taxonomy_group': '193400000X SINGLE SPECIALTY  GROUP'}]","[{'identifier': '675447', 'code': '01', 'desc': 'Other', 'state': 'AR', 'issuer': 'UNITED CONCORDIA'}, {'identifier': '58939', 'code': '01', 'desc': 'Other', 'state': 'AR', 'issuer': 'BLUE CROSS BLUE SHIELD'}]","ROBERT R. CARLISLE, D.D.S.",NO,2007-06-04,2020-08-22,A,ROBERT,CARLISLE,R.,501-776-0564,OWNER,,"ROBERT R. CARLISLE, D.D.S.",,,,,,,,,,,,,,,,,
412,NPI-1,1457880361,1521244800,1496707200,[],"[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '1400 W 42ND AVE', 'address_2': '', 'city': 'PINE BLUFF', 'state': 'AR', 'postal_code': '716037003', 'telephone_number': '870-541-0136', 'fax_number': '501-764-4111'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': '715 MILITARY RD', 'address_2': '', 'city': 'BENTON', 'state': 'AR', 'postal_code': '720153310', 'telephone_number': '501-483-3939', 'fax_number': '501-764-4111'}]","[{'code': '1223G0001X', 'desc': 'Dentist General Practice', 'primary': True, 'state': 'AR', 'license': '4180'}]",[],,,2017-06-06,2018-03-17,A,,,,,,,WOODS MATTHEW,MATTHEW,WOODS,,,NO,M,,,,,,"[{'address_type': 'DOM', 'address_1': '216 E CARPENTER ST', 'address_2': '', 'city': 'BENTON', 'state': 'AR', 'postal_code': '720153418', 'country_code': 'US', 'country_name': 'United States', 'fax_number': '501-764-4111', 'telephone_number': '501-315-1512', 'update_date': '2017-06-06 09:39'}, {'address_type': 'DOM', 'address_1': '7400 N HILLS BLVD', 'address_2': '', 'city': 'NORTH LITTLE ROCK', 'state': 'AR', 'postal_code': '721164539', 'country_code': 'US', 'country_name': 'United States', 'fax_number': '501-764-4111', 'telephone_number': '501-835-4567', 'update_date': '2017-06-06 09:39'}, {'address_type': 'DOM', 'address_1': '9035 E SANDIDGE RD', 'address_2': '', 'city': 'OLIVE BRANCH', 'state': 'MS', 'postal_code': '386543520', 'country_code': 'US', 'country_name': 'United States', 'fax_number': '501-764-4111', 'telephone_number': '662-895-7338', 'update_date': '2017-06-06 09:39'}, {'address_type': 'DOM', 'address_1': '1400 W CENTER ST', 'address_2': '', 'city': 'SHERIDAN', 'state': 'AR', 'postal_code': '721508427', 'country_code': 'US', 'country_name': 'United States', 'fax_number': '501-764-4111', 'telephone_number': '870-942-2822', 'update_date': '2017-06-06 09:39'}, {'address_type': 'DOM', 'address_1': '230 PINE BLUFF ST', 'address_2': '', 'city': 'MALVERN', 'state': 'AR', 'postal_code': '721044228', 'country_code': 'US', 'country_name': 'United States', 'fax_number': '501-764-4111', 'telephone_number': '501-337-4908', 'update_date': '2017-06-06 09:39'}]",,,,,
